Train_ID,Source,Destination,Date,Hour,Passenger_Count,Seat_Capacity,Number_of_Coaches,Platform,Delay_Minutes,Weekend,Holiday
T6968,Patna,Bhopal,2025-03-01,20,823,800,16,2,13,0,1
T2038,Visakhapatnam,Delhi,2025-03-01,5,287,700,14,8,21,0,1
T7780,Visakhapatnam,Ahmedabad,2025-03-01,14,523,700,14,7,17,1,1
T6208,Agra,Patna,2025-03-01,20,872,700,14,10,4,1,0
T4862,Surat,Delhi,2025-03-01,6,673,800,16,12,6,0,1
T1483,Bangalore,Indore,2025-03-01,9,349,700,14,12,5,0,0
T4953,Coimbatore,Jaipur,2025-03-01,10,874,600,12,8,12,1,0
T9621,Kolkata,Hyderabad,2025-03-01,19,603,600,12,4,7,0,0
T5525,Pune,Chennai,2025-03-01,10,873,600,12,8,29,1,1
T4351,Kolkata,Chennai,2025-03-01,13,813,600,12,6,16,0,0
T5215,Delhi,Pune,2025-03-01,6,456,600,12,1,6,0,1
T4717,Surat,Bhopal,2025-03-01,10,620,600,12,4,19,0,1
T6950,Delhi,Vijayawada,2025-03-01,13,402,700,14,4,14,1,0
T9592,Mumbai,Vijayawada,2025-03-01,15,217,600,12,11,27,0,0
T7272,Agra,Bhopal,2025-03-01,8,768,700,14,5,17,0,1
T1576,Mumbai,Patna,2025-03-01,19,409,800,16,2,22,1,1
T4849,Jaipur,Bangalore,2025-03-01,19,504,700,14,10,11,1,1
T2484,Pune,Jaipur,2025-03-01,21,211,500,10,9,8,0,1
T8381,Chennai,Indore,2025-03-01,14,690,800,16,5,18,0,0
T8093,Chennai,Lucknow,2025-03-01,12,545,600,12,1,2,0,1
T8752,Jaipur,Kolkata,2025-03-01,0,561,500,10,11,1,1,0
T9679,Jaipur,Delhi,2025-03-01,8,488,800,16,7,18,1,1
T2270,Mumbai,Hyderabad,2025-03-01,0,627,700,14,4,26,0,0
T6899,Patna,Vijayawada,2025-03-01,12,440,700,14,3,18,1,0
T8710,Pune,Bhopal,2025-03-01,16,310,500,10,5,25,1,1
T4114,Mumbai,Patna,2025-03-01,0,255,700,14,8,7,0,0
T4122,Agra,Patna,2025-03-01,3,376,700,14,6,30,0,0
T3588,Patna,Ahmedabad,2025-03-01,23,534,700,14,10,2,1,1
T8443,Mumbai,Indore,2025-03-01,1,446,500,10,8,9,1,1
T7385,Lucknow,Tirupati,2025-03-01,18,404,800,16,11,5,0,1
T4368,Tirupati,Patna,2025-03-01,21,463,800,16,1,24,0,0
T9947,Mumbai,Delhi,2025-03-01,10,707,700,14,4,20,1,0
T7452,Lucknow,Chennai,2025-03-01,22,613,800,16,8,5,0,1
T3948,Agra,Jaipur,2025-03-01,14,266,600,12,10,24,1,1
T6469,Tirupati,Agra,2025-03-01,11,441,700,14,11,29,1,1
T8493,Agra,Bangalore,2025-03-01,16,719,600,12,6,2,1,0
T7346,Agra,Vijayawada,2025-03-01,12,666,700,14,7,24,0,0
T9913,Agra,Jaipur,2025-03-01,5,737,500,10,4,6,1,1
T3200,Vijayawada,Kolkata,2025-03-01,7,261,500,10,2,21,1,1
T7366,Patna,Surat,2025-03-01,22,523,800,16,11,27,1,1
T7043,Mumbai,Pune,2025-03-01,8,402,600,12,8,30,0,1
T8377,Bangalore,Bhopal,2025-03-01,3,887,700,14,8,22,1,0
T3461,Bhopal,Tirupati,2025-03-01,10,371,700,14,6,9,1,1
T3995,Indore,Vijayawada,2025-03-01,22,564,700,14,11,25,0,1
T5635,Mumbai,Patna,2025-03-01,23,407,600,12,9,7,0,0
T2689,Delhi,Nagpur,2025-03-01,23,477,800,16,4,6,1,0
T8955,Visakhapatnam,Jaipur,2025-03-01,2,787,500,10,9,14,0,0
T5745,Surat,Coimbatore,2025-03-01,5,631,700,14,9,20,1,0
T6307,Surat,Bhopal,2025-03-01,9,747,600,12,8,28,0,1
T1767,Agra,Patna,2025-03-01,1,521,800,16,5,10,0,0
T7681,Vijayawada,Jaipur,2025-03-01,12,432,800,16,2,29,1,0
T1336,Indore,Jaipur,2025-03-01,14,584,500,10,10,4,0,1
T9226,Vijayawada,Coimbatore,2025-03-01,18,675,500,10,1,27,1,1
T2980,Delhi,Mumbai,2025-03-01,19,349,700,14,7,12,0,1
T5973,Vijayawada,Agra,2025-03-01,19,664,800,16,2,29,0,1
T9406,Agra,Coimbatore,2025-03-01,6,809,700,14,12,22,0,0
T6508,Nagpur,Jaipur,2025-03-01,17,637,500,10,1,14,0,1
T7622,Hyderabad,Patna,2025-03-01,23,852,600,12,1,24,0,0
T5809,Pune,Surat,2025-03-01,21,268,600,12,9,12,0,0
T5510,Tirupati,Vijayawada,2025-03-01,17,432,500,10,8,3,0,0
T2224,Visakhapatnam,Bhopal,2025-03-01,19,252,700,14,9,17,0,0
T6810,Delhi,Nagpur,2025-03-01,12,290,500,10,11,3,0,0
T2983,Bhopal,Surat,2025-03-01,4,248,700,14,1,1,0,0
T9710,Kolkata,Vijayawada,2025-03-01,11,245,800,16,7,12,0,1
T1774,Pune,Indore,2025-03-01,17,576,500,10,10,9,0,0
T4162,Patna,Delhi,2025-03-01,13,660,600,12,8,3,0,1
T2862,Kolkata,Tirupati,2025-03-01,4,512,500,10,8,10,0,0
T1445,Agra,Tirupati,2025-03-01,1,790,700,14,1,11,0,1
T1682,Hyderabad,Patna,2025-03-01,9,478,600,12,5,25,0,1
T3426,Kolkata,Vijayawada,2025-03-01,17,880,800,16,2,19,0,1
T9171,Chennai,Patna,2025-03-01,17,237,800,16,12,10,1,1
T5064,Ahmedabad,Bhopal,2025-03-01,18,670,700,14,1,12,0,1
T8036,Hyderabad,Vijayawada,2025-03-01,6,288,800,16,2,25,1,0
T1259,Agra,Surat,2025-03-01,2,750,700,14,8,11,0,1
T9847,Ahmedabad,Vijayawada,2025-03-01,18,789,700,14,3,18,1,0
T9723,Bangalore,Nagpur,2025-03-01,13,626,700,14,9,11,0,0
T7062,Agra,Surat,2025-03-01,9,413,800,16,3,4,0,1
T8465,Nagpur,Lucknow,2025-03-01,3,363,800,16,11,14,0,1
T7591,Vijayawada,Mumbai,2025-03-01,21,313,800,16,4,19,1,0
T2206,Kolkata,Vijayawada,2025-03-01,1,834,500,10,4,18,0,0
T4077,Pune,Bangalore,2025-03-01,22,369,800,16,8,0,0,1
T1167,Bangalore,Chennai,2025-03-01,10,875,800,16,5,10,1,1
T9007,Bhopal,Visakhapatnam,2025-03-01,11,321,500,10,12,13,0,0
T3528,Bhopal,Jaipur,2025-03-01,14,379,500,10,4,17,1,1
T6032,Delhi,Agra,2025-03-01,10,701,700,14,5,8,1,1
T7753,Agra,Jaipur,2025-03-01,3,650,500,10,9,13,1,0
T4937,Pune,Patna,2025-03-01,18,625,700,14,6,4,1,1
T7876,Delhi,Bhopal,2025-03-01,2,467,700,14,10,2,0,1
T3562,Ahmedabad,Surat,2025-03-01,14,843,600,12,3,3,0,0
T4091,Lucknow,Delhi,2025-03-01,0,554,700,14,9,27,1,1
T9282,Tirupati,Agra,2025-03-01,10,701,700,14,8,0,1,1
T6150,Visakhapatnam,Pune,2025-03-01,20,669,700,14,2,12,1,1
T4397,Delhi,Lucknow,2025-03-01,8,509,500,10,4,26,1,0
T5978,Lucknow,Coimbatore,2025-03-01,12,500,600,12,5,16,0,0
T7046,Ahmedabad,Chennai,2025-03-01,9,212,800,16,5,16,1,1
T6754,Delhi,Ahmedabad,2025-03-01,5,209,600,12,7,10,0,0
T5069,Visakhapatnam,Bhopal,2025-03-01,10,352,800,16,6,4,1,0
T7745,Vijayawada,Ahmedabad,2025-03-01,10,457,600,12,12,14,1,0
T4710,Pune,Agra,2025-03-01,6,571,600,12,6,30,0,1
T5944,Vijayawada,Coimbatore,2025-03-01,13,808,700,14,3,0,1,1
T9071,Tirupati,Nagpur,2025-03-01,19,662,500,10,11,10,1,0
T7865,Jaipur,Mumbai,2025-03-01,10,700,600,12,6,23,0,0
T4059,Nagpur,Mumbai,2025-03-01,16,483,500,10,1,13,1,1
T6920,Vijayawada,Chennai,2025-03-01,8,237,800,16,8,24,0,1
T1347,Indore,Vijayawada,2025-03-01,4,489,700,14,8,27,0,0
T1481,Patna,Agra,2025-03-01,23,598,500,10,7,0,0,1
T7806,Pune,Agra,2025-03-01,11,331,600,12,10,10,1,0
T3926,Jaipur,Chennai,2025-03-01,21,385,600,12,8,15,1,0
T4376,Jaipur,Coimbatore,2025-03-01,13,328,600,12,4,11,1,1
T2031,Chennai,Coimbatore,2025-03-01,0,610,700,14,9,18,1,0
T5474,Visakhapatnam,Pune,2025-03-01,0,648,700,14,11,30,0,0
T1366,Pune,Vijayawada,2025-03-01,20,494,500,10,3,24,0,0
T1384,Chennai,Kolkata,2025-03-01,7,424,500,10,9,20,0,0
T2603,Visakhapatnam,Hyderabad,2025-03-01,4,641,600,12,8,0,0,1
T1761,Chennai,Hyderabad,2025-03-01,23,301,700,14,12,8,1,0
T7328,Bhopal,Coimbatore,2025-03-01,18,741,800,16,1,14,1,1
T3619,Lucknow,Hyderabad,2025-03-01,4,504,500,10,2,4,0,0
T9701,Indore,Agra,2025-03-01,1,243,700,14,5,2,0,1
T1232,Bhopal,Pune,2025-03-01,21,311,800,16,1,4,1,0
T5770,Nagpur,Mumbai,2025-03-01,11,769,600,12,12,24,1,0
T5495,Jaipur,Bhopal,2025-03-01,4,507,600,12,11,23,0,0
T3115,Bangalore,Delhi,2025-03-01,7,471,500,10,2,7,1,0
T6228,Nagpur,Pune,2025-03-01,17,467,700,14,4,20,0,1
T2158,Surat,Lucknow,2025-03-01,7,553,700,14,8,25,1,1
T4786,Lucknow,Kolkata,2025-03-01,2,800,800,16,8,17,1,0
T6923,Agra,Surat,2025-03-01,18,742,600,12,2,12,0,1
T6119,Patna,Ahmedabad,2025-03-01,14,415,700,14,7,25,0,1
T4406,Bangalore,Coimbatore,2025-03-01,17,638,800,16,10,9,1,1
T7242,Chennai,Delhi,2025-03-01,2,468,600,12,5,7,0,1
T4949,Visakhapatnam,Mumbai,2025-03-01,5,479,800,16,6,17,1,0
T4409,Indore,Bhopal,2025-03-01,18,434,800,16,11,12,1,1
T7718,Tirupati,Nagpur,2025-03-01,9,568,500,10,5,24,1,1
T4686,Delhi,Pune,2025-03-01,22,483,600,12,3,7,0,0
T8700,Coimbatore,Vijayawada,2025-03-01,15,495,700,14,4,13,0,1
T1331,Ahmedabad,Delhi,2025-03-01,22,502,800,16,6,27,1,0
T4963,Patna,Bangalore,2025-03-01,4,629,600,12,3,24,1,0
T1275,Bangalore,Nagpur,2025-03-01,18,743,700,14,7,5,1,1
T9575,Tirupati,Patna,2025-03-01,0,647,600,12,10,12,0,1
T4349,Agra,Kolkata,2025-03-01,13,421,500,10,8,10,0,1
T4845,Coimbatore,Chennai,2025-03-01,17,613,500,10,9,12,0,1
T7660,Bangalore,Pune,2025-03-01,12,583,500,10,9,14,1,1
T5640,Nagpur,Jaipur,2025-03-01,16,601,600,12,8,29,0,1
T7565,Lucknow,Kolkata,2025-03-01,18,656,700,14,4,20,0,0
T8864,Tirupati,Hyderabad,2025-03-01,9,561,500,10,11,11,0,0
T1890,Bangalore,Pune,2025-03-01,2,848,500,10,10,29,0,0
T7486,Jaipur,Hyderabad,2025-03-01,12,836,600,12,7,24,1,0
T6536,Coimbatore,Ahmedabad,2025-03-01,22,720,700,14,5,1,1,0
T2512,Coimbatore,Bhopal,2025-03-01,13,262,500,10,9,23,0,1
T2706,Agra,Nagpur,2025-03-01,21,628,800,16,3,6,1,0
T8768,Surat,Jaipur,2025-03-01,5,654,700,14,2,25,1,0
T2410,Bangalore,Ahmedabad,2025-03-01,20,559,700,14,12,10,1,0
T6274,Visakhapatnam,Jaipur,2025-03-01,8,818,700,14,1,28,0,0
T3847,Lucknow,Visakhapatnam,2025-03-01,14,831,500,10,9,10,0,1
T1813,Bangalore,Coimbatore,2025-03-01,15,298,700,14,4,0,0,0
T2593,Nagpur,Jaipur,2025-03-01,10,746,500,10,3,9,1,1
T3424,Pune,Patna,2025-03-01,11,506,700,14,11,12,0,0
T2659,Indore,Surat,2025-03-01,6,376,700,14,9,11,0,1
T4020,Chennai,Mumbai,2025-03-01,13,799,700,14,12,30,0,1
T8735,Bhopal,Tirupati,2025-03-01,4,840,600,12,1,14,0,1
T4519,Vijayawada,Patna,2025-03-01,2,277,700,14,9,2,0,1
T8001,Hyderabad,Chennai,2025-03-01,11,216,500,10,11,15,0,0
T4785,Visakhapatnam,Coimbatore,2025-03-01,20,875,500,10,9,7,0,1
T9526,Delhi,Hyderabad,2025-03-01,0,799,800,16,10,27,0,1
T2866,Surat,Mumbai,2025-03-01,19,804,600,12,5,18,0,1
T6530,Kolkata,Vijayawada,2025-03-01,12,884,500,10,11,11,0,0
T3283,Lucknow,Tirupati,2025-03-01,19,632,600,12,6,17,1,1
T3601,Delhi,Surat,2025-03-01,8,579,700,14,11,24,0,0
T5697,Lucknow,Visakhapatnam,2025-03-01,8,543,800,16,4,15,1,1
T7783,Agra,Nagpur,2025-03-01,18,337,800,16,8,15,0,0
T2998,Delhi,Lucknow,2025-03-01,20,235,800,16,12,12,0,1
T8802,Delhi,Agra,2025-03-01,9,599,700,14,4,10,0,0
T8918,Agra,Nagpur,2025-03-01,14,224,800,16,8,14,1,0
T5520,Bangalore,Jaipur,2025-03-01,0,600,500,10,11,26,1,0
T8791,Bhopal,Vijayawada,2025-03-01,15,802,600,12,4,20,0,0
T2427,Visakhapatnam,Bhopal,2025-03-01,0,465,800,16,5,9,0,1
T9013,Hyderabad,Coimbatore,2025-03-01,14,828,800,16,7,18,0,0
T6440,Jaipur,Ahmedabad,2025-03-01,16,497,600,12,11,26,0,0
T8959,Surat,Mumbai,2025-03-01,14,290,500,10,8,16,1,1
T9968,Kolkata,Vijayawada,2025-03-01,1,696,700,14,12,19,0,0
T7662,Delhi,Tirupati,2025-03-01,16,817,800,16,4,23,0,0
T2698,Hyderabad,Chennai,2025-03-01,6,481,600,12,8,23,1,0
T5207,Jaipur,Delhi,2025-03-01,17,393,800,16,3,21,1,0
T9070,Bhopal,Mumbai,2025-03-01,22,424,500,10,4,25,0,1
T8503,Bhopal,Ahmedabad,2025-03-01,3,386,800,16,7,21,0,0
T7754,Vijayawada,Visakhapatnam,2025-03-01,12,734,500,10,9,14,1,1
T8942,Bhopal,Patna,2025-03-01,7,249,800,16,9,16,1,1
T3594,Chennai,Tirupati,2025-03-01,19,855,800,16,2,17,0,0
T4662,Bangalore,Lucknow,2025-03-01,14,710,500,10,11,15,1,1
T3515,Pune,Kolkata,2025-03-01,0,300,800,16,9,30,0,1
T5610,Bhopal,Agra,2025-03-01,5,374,600,12,5,29,1,0
T4680,Tirupati,Nagpur,2025-03-01,20,693,600,12,1,2,0,1
T5870,Bangalore,Chennai,2025-03-01,0,805,600,12,8,0,0,1
T7717,Kolkata,Nagpur,2025-03-01,8,715,600,12,8,1,0,0
T4661,Ahmedabad,Nagpur,2025-03-01,15,547,700,14,10,11,0,1
T8198,Surat,Kolkata,2025-03-01,8,682,800,16,3,28,1,0
T5146,Visakhapatnam,Vijayawada,2025-03-01,14,540,600,12,3,23,1,0
T2577,Visakhapatnam,Kolkata,2025-03-01,16,216,700,14,7,23,1,1
T1981,Surat,Bhopal,2025-03-01,8,383,700,14,7,1,0,0
T2758,Patna,Nagpur,2025-03-01,17,480,800,16,9,24,0,0
T5814,Delhi,Hyderabad,2025-03-01,14,319,600,12,10,5,1,0
T4350,Jaipur,Mumbai,2025-03-01,17,773,500,10,9,4,0,0
T1199,Indore,Tirupati,2025-03-01,0,305,800,16,11,7,0,0
T5952,Kolkata,Surat,2025-03-01,17,318,500,10,5,5,1,0
T4978,Nagpur,Mumbai,2025-03-01,2,588,700,14,4,26,1,1
T9327,Vijayawada,Bhopal,2025-03-01,11,714,700,14,9,17,0,1
T2999,Nagpur,Visakhapatnam,2025-03-01,12,241,800,16,12,5,1,0
T5030,Vijayawada,Surat,2025-03-01,6,453,700,14,8,16,1,1
T8584,Lucknow,Visakhapatnam,2025-03-01,2,302,800,16,10,13,0,1
T7541,Chennai,Jaipur,2025-03-01,6,742,600,12,7,21,0,0
T1276,Visakhapatnam,Bhopal,2025-03-01,4,698,600,12,2,27,1,0
T8109,Coimbatore,Bhopal,2025-03-01,14,694,500,10,5,1,0,0
T1778,Ahmedabad,Chennai,2025-03-01,8,820,700,14,9,24,1,1
T6961,Coimbatore,Mumbai,2025-03-01,3,428,600,12,6,1,0,0
T3310,Visakhapatnam,Patna,2025-03-01,23,232,500,10,2,10,1,1
T3634,Surat,Kolkata,2025-03-01,16,447,800,16,1,3,0,0
T4622,Kolkata,Lucknow,2025-03-01,14,238,700,14,12,4,0,0
T6719,Ahmedabad,Delhi,2025-03-01,2,734,800,16,3,25,0,0
T6255,Lucknow,Patna,2025-03-01,2,317,700,14,4,22,0,0
T2371,Chennai,Mumbai,2025-03-01,3,224,700,14,8,1,1,1
T8939,Indore,Bangalore,2025-03-01,7,226,800,16,4,2,0,1
T5072,Surat,Tirupati,2025-03-01,19,706,600,12,1,29,0,1
T7762,Jaipur,Patna,2025-03-01,5,725,500,10,2,5,1,1
T5854,Lucknow,Jaipur,2025-03-01,5,665,500,10,12,9,1,0
T7588,Coimbatore,Jaipur,2025-03-01,22,779,700,14,10,23,0,0
T5649,Nagpur,Delhi,2025-03-01,19,303,500,10,12,30,1,0
T1529,Visakhapatnam,Bhopal,2025-03-01,22,900,800,16,3,5,0,0
T6405,Bhopal,Tirupati,2025-03-01,19,720,700,14,6,5,0,0
T3156,Vijayawada,Visakhapatnam,2025-03-01,2,378,800,16,1,24,1,0
T2742,Mumbai,Vijayawada,2025-03-01,18,783,800,16,11,23,0,1
T8889,Surat,Bhopal,2025-03-01,9,551,500,10,4,30,1,0
T7521,Patna,Hyderabad,2025-03-01,0,568,700,14,9,16,1,0
T1570,Delhi,Visakhapatnam,2025-03-01,21,706,500,10,6,6,1,0
T9025,Bangalore,Lucknow,2025-03-01,15,267,600,12,11,22,1,0
T3736,Nagpur,Bangalore,2025-03-01,15,746,600,12,4,25,0,1
T9410,Visakhapatnam,Surat,2025-03-01,7,687,600,12,11,7,0,1
T5321,Coimbatore,Agra,2025-03-01,7,650,700,14,12,28,1,0
T2726,Chennai,Coimbatore,2025-03-01,19,568,800,16,7,9,1,1
T6599,Bangalore,Ahmedabad,2025-03-01,15,459,800,16,10,13,0,0
T5986,Hyderabad,Chennai,2025-03-01,0,232,700,14,1,3,0,0
T2526,Hyderabad,Agra,2025-03-01,4,847,700,14,1,14,0,1
T1904,Kolkata,Lucknow,2025-03-01,10,893,800,16,3,16,0,0
T4923,Chennai,Bangalore,2025-03-01,17,772,700,14,8,7,0,1
T3328,Pune,Patna,2025-03-01,12,687,500,10,11,6,0,0
T7718,Tirupati,Agra,2025-03-01,16,536,500,10,12,30,0,1
T8704,Mumbai,Hyderabad,2025-03-01,20,705,600,12,6,15,0,1
T5586,Tirupati,Coimbatore,2025-03-01,23,813,800,16,6,21,0,1
T9380,Visakhapatnam,Bangalore,2025-03-01,4,529,600,12,8,23,1,0
T3271,Patna,Tirupati,2025-03-01,16,486,500,10,8,20,1,1
T7281,Delhi,Indore,2025-03-01,19,686,700,14,10,4,1,0
T4676,Surat,Nagpur,2025-03-01,16,273,500,10,9,1,0,1
T4489,Hyderabad,Lucknow,2025-03-01,8,551,700,14,5,0,1,1
T6578,Pune,Bangalore,2025-03-01,5,410,500,10,4,6,0,0
T6628,Jaipur,Delhi,2025-03-01,21,571,800,16,1,4,1,1
T6121,Visakhapatnam,Nagpur,2025-03-01,1,681,500,10,4,26,1,0
T5730,Mumbai,Lucknow,2025-03-01,1,760,800,16,1,8,1,1
T9643,Lucknow,Nagpur,2025-03-01,14,372,600,12,1,13,1,1
T6740,Coimbatore,Ahmedabad,2025-03-01,12,732,500,10,9,28,1,0
T7716,Kolkata,Mumbai,2025-03-01,23,368,800,16,10,13,0,1
T9854,Kolkata,Ahmedabad,2025-03-01,2,484,600,12,3,9,0,1
T2750,Vijayawada,Bhopal,2025-03-01,16,898,800,16,5,17,1,0
T4897,Vijayawada,Lucknow,2025-03-01,16,274,800,16,10,27,1,0
T5047,Hyderabad,Agra,2025-03-01,3,701,800,16,5,17,0,0
T2436,Nagpur,Ahmedabad,2025-03-01,19,731,700,14,5,14,1,0
T1899,Bhopal,Visakhapatnam,2025-03-01,3,441,800,16,8,14,1,0
T3110,Surat,Coimbatore,2025-03-01,6,541,500,10,12,13,1,1
T2976,Nagpur,Visakhapatnam,2025-03-01,13,816,800,16,3,20,0,0
T4393,Bhopal,Nagpur,2025-03-01,10,726,500,10,7,1,1,0
T7106,Kolkata,Agra,2025-03-01,8,721,700,14,3,14,1,0
T9604,Kolkata,Delhi,2025-03-01,6,836,800,16,6,12,0,1
T2104,Patna,Visakhapatnam,2025-03-01,1,634,800,16,12,5,0,0
T4186,Ahmedabad,Pune,2025-03-01,14,863,700,14,6,15,1,0
T9564,Jaipur,Ahmedabad,2025-03-01,23,281,500,10,1,23,1,1
T6363,Visakhapatnam,Vijayawada,2025-03-01,22,684,800,16,4,17,1,0
T9815,Delhi,Ahmedabad,2025-03-01,6,844,800,16,6,0,0,1
T5485,Patna,Chennai,2025-03-01,8,608,500,10,5,12,1,1
T3256,Nagpur,Ahmedabad,2025-03-01,6,717,600,12,6,7,0,1
T4575,Delhi,Nagpur,2025-03-01,6,736,600,12,6,8,1,0
T5315,Surat,Chennai,2025-03-01,23,360,800,16,9,9,1,0
T7541,Hyderabad,Vijayawada,2025-03-01,22,647,800,16,10,25,0,1
T1693,Mumbai,Indore,2025-03-01,8,728,500,10,5,29,0,1
